Ort;Zusatz;Plz;Vorwahl;Bundesland
Aach;b Trier;54298;651;Rheinland-Pfalz
Aach;, Hegau;78267;7774;Baden-Württemberg
Aachen;;52062;241;Nordrhein-Westfalen
Aachen;;52064;241;Nordrhein-Westfalen
Aachen;;52066;241;Nordrhein-Westfalen
Aachen;;52068;241;Nordrhein-Westfalen
Aachen;;52070;241;Nordrhein-Westfalen
Aachen;;52072;241;Nordrhein-Westfalen
Aachen;;52074;241;Nordrhein-Westfalen
Aachen;;52076;241;Nordrhein-Westfalen
Aachen;;52078;241;Nordrhein-Westfalen
Aachen;;52080;241;Nordrhein-Westfalen
Aalen;, Württ;73430;7361;Baden-Württemberg
Aalen;, Württ;73431;7361;Baden-Württemberg
Aalen;, Württ;73432;7361;Baden-Württemberg
Aalen;, Württ;73433;7361;Baden-Württemberg
Aalen;, Württ;73434;7361;Baden-Württemberg
Aarbergen;;65326;6120;Hessen
Aasbüttel;;25560;4892;Schlewig-Holstein
Abbau Ader;;29416;;Sachsen-Anhalt
Abbendorf;a d Havel;19322;38791;Brandenburg
Abbenrode;b Wernigerode;38871;39452;Sachsen-Anhalt
Abberode;;6543;34779;Sachsen-Anhalt
Abenberg;, Mittelfr;91183;9178;Bayern
Abend;;1623;35246;Sachsen
Abensberg;, Hallertau;93326;9443;Bayern
Abentheuer;;55767;6782;Rheinland-Pfalz
Abraham;, Kr Passau;94036;;Bayern
Absberg;;91720;9175;Bayern
Abstatt;;74232;7062;Baden-Württemberg
Abtlöbnitz;;6628;34466;Sachsen-Anhalt
Abtsbessingen;;99713;36020;Thüringen
Abtsdorf;b Lutherstadt Wittenberg;6888;3491;Sachsen-Anhalt
Abtsgmünd;;73453;7366;Baden-Württemberg
Abtsteinach;;69518;6207;Hessen
Abtswind;;97355;9383;Bayern
Abtweiler;;55568;6753;Rheinland-Pfalz
Achberg;b Lindau, Bodensee;88147;8380;Baden-Württemberg
Achen;b Evenhausen, Oberbay;83552;8075;Bayern
Achern;, Baden;77855;7841;Baden-Württemberg
Achim;b Bremen;28832;4202;Niedersachsen
Achim;, Kr Wolfenbüttel;38312;5334;Niedersachsen
Achslach;;94250;9929;Bayern
Achstetten;;88480;7392;Baden-Württemberg
Acht;;56729;2656;Rheinland-Pfalz
Achtelsbach;;55767;6782;Rheinland-Pfalz
Achterspannerhof;;56299;;Rheinland-Pfalz
Achterwehr;;24239;4340;Schlewig-Holstein
Achtrup;;25917;4662;Schlewig-Holstein
Ackendorf;b Haldensleben;39343;39202;Sachsen-Anhalt
Ackermannshof;;16259;33451;Brandenburg
Adamshoffnung;;17213;39932;Mecklenburg-Vorpommern
Addebüll;;25842;4672;Schlewig-Holstein
Adelberg;, Württ;73099;7166;Baden-Württemberg
Adelebsen;;37139;5506;Niedersachsen
Adelhausen;b Hildburghausen;98646;3685;Thüringen
Adelheidsdorf;;29352;5085;Niedersachsen
Adelmannsfelden;;73486;7963;Baden-Württemberg
Adelschlag;;85111;8421;Bayern
Adelsdorf;b Großenhain, Sachs;1561;3522;Sachsen
Adelsdorf;, Mittelfr;91325;9195;Bayern
Adelsheim;;74740;6291;Baden-Württemberg
Adelshofen;, Kr Fürstenfeldbruck;82276;8146;Bayern
Adelshofen;, Mittelfr;91587;9865;Bayern
Adelsried;b Augsburg;86477;8294;Bayern
Adelzhausen;;86559;8258;Bayern
Adenau;;53518;2691;Rheinland-Pfalz
Adenbach;;67742;6753;Rheinland-Pfalz
Adenbüttel;;38528;5304;Niedersachsen
Adendorf;, Kr Lüneburg;21365;4131;Niedersachsen
Adenstedt;b Alfeld, Leine;31079;5060;Niedersachsen
Aderstedt;b Bernburg;6408;3471;Sachsen-Anhalt
Aderstedt;b Halberstadt;38838;39428;Sachsen-Anhalt
Adlersteige;;73479;7961;Baden-Württemberg
Adligstadt;;83364;8666;Bayern
Adlkofen;b Landshut, Isar;84166;8707;Bayern
Adlkofen;b Landshut, Isar;84166;8707;Bayern
Admannshagen-Bargeshagen;;18211;38203;Mecklenburg-Vorpommern
Adorf;, Vogtl;8626;37423;Sachsen
Aebtissinwisch;;25572;4825;Schlewig-Holstein
Aerzen;;31855;5154;Niedersachsen
Affalterbach;, Württ;71563;7144;Baden-Württemberg
Affing;;86444;8207;Bayern
Affinghausen;;27257;4247;Niedersachsen
Affler;;54689;6524;Rheinland-Pfalz
Aftholderbach;;56355;6772;Rheinland-Pfalz
Agathenburg;;21684;4141;Niedersachsen
Agethorst;;25560;4892;Schlewig-Holstein
Aglasterhausen;;74858;6262;Baden-Württemberg
Aham;, Vils;84168;8744;Bayern
Ahaus;;48683;2561;Nordrhein-Westfalen
Ahausen;, Kr Rotenburg, Wümme;27367;4269;Niedersachsen
Ahlbeck;;17375;39775;Mecklenburg-Vorpommern
Ahlden;(Aller);29693;5164;Niedersachsen
Ahlefeld;b Rendsburg;24811;4353;Schlewig-Holstein
Ahlen;, Westf;59227;2382;Nordrhein-Westfalen
Ahlen;, Westf;59229;2382;Nordrhein-Westfalen
Ahlerstedt;;21702;4166;Niedersachsen
Ahlsdorf;b Schönewalde;4916;35362;Brandenburg
Ahlsdorf;b Lutherstadt Eisleben;6313;34772;Sachsen-Anhalt
Ahlstädt;;98553;36873;Thüringen
Ahlum;, Altmark;38489;39007;Sachsen-Anhalt
Ahnatal;;34292;5609;Hessen
Ahneby;;24996;4637;Schlewig-Holstein
Ahnsbeck;;29353;5145;Niedersachsen
Ahnsen;b Stadthagen;31708;5722;Niedersachsen
Aholfing;;94345;9429;Bayern
Aholming;;94527;9938;Bayern
Ahorn;, Baden;74744;6296;Baden-Württemberg
Ahorn;, Kr Coburg;96482;9561;Bayern
Ahorntal;;95491;9202;Bayern
Ahrain;b Wörnsmühl;83739;8025;Bayern
Ahrbrück;;53506;2643;Rheinland-Pfalz
Ahrensbök;;23623;4525;Schlewig-Holstein
Ahrensburg;;22926;4102;Schlewig-Holstein
Ahrensdorf;b Ludwigsfelde;14974;3378;Brandenburg
Ahrensdorf;b Beeskow;15864;33677;Brandenburg
Ahrensfelde;b Berlin;16356;30;Brandenburg
Ahrenshagen;b Ribnitz-Damgarten;18320;38225;Mecklenburg-Vorpommern
Ahrenshöft;;25853;4846;Schlewig-Holstein
Ahrenstedt;, Gem Rickert;24787;;Schlewig-Holstein
Ahrenviöl;;25885;4847;Schlewig-Holstein
Ahrenviölfeld;;25885;4626;Schlewig-Holstein
Aicha;vorm Wald;94529;8544;Bayern
Aichach;a d Paar;86551;8251;Bayern
Aichat;;83565;8092;Bayern
Aichberg;b Waging a See;83329;8681;Bayern
Aichelberg;, Kr Göppingen;73101;7164;Baden-Württemberg
Aichen;, Schwab;86479;8284;Bayern
Aichhalden;b Schramberg;78733;7422;Baden-Württemberg
Aichstetten;b Leutkirch im Allgäu;88317;7565;Baden-Württemberg
Aichtal;;72631;7127;Baden-Württemberg
Aichwald;, Schurw;73773;711;Baden-Württemberg
Aichwies;;83329;8681;Bayern
Aidenbach;, Niederbay;94501;8543;Bayern
Aidhausen;;97491;9526;Bayern
Aidlingen;, Württ;71134;7034;Baden-Württemberg
Aiglsbach;;84089;8753;Bayern
Ailertchen;;56459;2663;Rheinland-Pfalz
Aindling;;86447;8237;Bayern
Ainring;;83404;8654;Bayern
Aislingen;, Schwab;89344;9075;Bayern
Aiterhofen;;94330;9421;Bayern
Aitern;;79677;7673;Baden-Württemberg
Aiteröd;;84137;8741;Bayern
Aitrach;;88319;7565;Baden-Württemberg
Aitrang;;87648;8343;Bayern
Aitzendorf;;9326;37382;Sachsen
Aken;(Elbe);6385;34909;Sachsen-Anhalt
Alach;;99100;361;Thüringen
Alach;;99100;361;Thüringen
Albaching;;83544;8076;Bayern
Albbruck;;79774;7753;Baden-Württemberg
Albernhof;b Waldmünchen;93449;9978;Bayern
Albersdorf;b Stadtroda;7646;36692;Thüringen
Albersdorf;, Holst;25767;4835;Schlewig-Holstein
Albershausen;;73095;7161;Baden-Württemberg
Albersroda;;6268;34632;Sachsen-Anhalt
Alberstedt;;6279;34774;Sachsen-Anhalt
Albersweiler;;76857;6345;Rheinland-Pfalz
Alberthofen;;57614;2684;Rheinland-Pfalz
Albertinenhof;b Neuruppin;16818;33925;Brandenburg
Albertinenhof;b Boizenburg;19260;38848;Mecklenburg-Vorpommern
Albertshofen;, Kr Kitzingen;97320;9321;Bayern
Albessen;;66871;6384;Rheinland-Pfalz
Albig;;55234;6731;Rheinland-Pfalz
Albisheim;(Pfrimm);67308;6355;Rheinland-Pfalz
Albrechts;b Suhl;98529;3681;Thüringen
Albrechts;b Suhl;98529;3681;Thüringen
Albrechtshof;b Prenzlau;17291;39862;Brandenburg
Albsfelde;;23909;4541;Schlewig-Holstein
Albstadt;, Württ;72458;7432;Baden-Württemberg
Albstadt;, Württ;72459;7432;Baden-Württemberg
Albstadt;, Württ;72461;7432;Baden-Württemberg
Aldenhoven;b Jülich;52457;2464;Nordrhein-Westfalen
Aldersbach;;94501;8543;Bayern
Aldingen;, Kr Tuttlingen;78554;7424;Baden-Württemberg
Alerheim;;86733;9085;Bayern
Alesheim;;91793;9146;Bayern
Aletshausen;;86480;8282;Bayern
Alf;;56859;6542;Rheinland-Pfalz
Alfdorf;;73553;7172;Baden-Württemberg
Alfeld;(Leine);31061;5181;Niedersachsen
Alfeld;, Mittelfr;91236;9157;Bayern
Alfhausen;;49594;5464;Niedersachsen
Alflen;;56828;2678;Rheinland-Pfalz
Alfstedt;b Bremervörde;27432;4765;Niedersachsen
Alfter;;53347;228;Nordrhein-Westfalen
Algenstedt;;39638;3907;Sachsen-Anhalt
Algermissen;;31191;5126;Niedersachsen
Algertshausen;b Greifenberg, Ammersee;86926;;Bayern
Algesbüttel;;38551;5373;Niedersachsen
Algishofen;;73453;7975;Baden-Württemberg
Alheim;;36211;5664;Hessen
Alikendorf;;39398;39408;Sachsen-Anhalt
Alken;, Mosel;56332;2605;Rheinland-Pfalz
Alkersleben;;99310;36200;Thüringen
Alkersum;;25938;4681;Schlewig-Holstein
Allenbach;, Hunsrück;55758;6786;Rheinland-Pfalz
Allendorf;b Rudolstadt;7426;36730;Thüringen
Allendorf;(Eder);35108;6407;Hessen
Allendorf;(Lumda);35469;6452;Hessen
Allendorf;, Rhein-Lahn-Kr;56370;6486;Rheinland-Pfalz
Allenfeld;;55595;6756;Rheinland-Pfalz
Allensbach;;78476;7533;Baden-Württemberg
Alleringersleben;;39343;39400;Sachsen-Anhalt
Allersberg;, Mittelfr;90584;9176;Bayern
Allersdorf;b Ilmenau, Thür;98701;36781;Thüringen
Allershausen;, Oberbay;85391;8166;Bayern
Alleshausen;;88422;7374;Baden-Württemberg
Alling;, Oberbay;82239;8141;Bayern
Allmannshofen;;86695;8273;Bayern
Allmannsweiler;b Bad Saulgau;88348;7582;Baden-Württemberg
Allmendingen;, Württ;89604;7391;Baden-Württemberg
Allmenhausen;;99713;36020;Thüringen
Allmersbach;im Tal;71573;7191;Baden-Württemberg
Allmosen;;1983;35753;Brandenburg
Allrode;;6507;39487;Sachsen-Anhalt
Allstedt;;6542;34652;Sachsen-Anhalt
Almdorf;;25821;4671;Schlewig-Holstein
Almersbach;;57610;2681;Rheinland-Pfalz
Almosmühle;;93449;9975;Bayern
Almstedt;;31079;5060;Niedersachsen
Alpen;;46519;2802;Nordrhein-Westfalen
Alpenrod;;57642;2662;Rheinland-Pfalz
Alperstedt;;99195;36204;Thüringen
Alpirsbach;;72275;7444;Baden-Württemberg
Alsau;;53547;2638;Rheinland-Pfalz
Alsbach;, Westerw;56237;2601;Rheinland-Pfalz
Alsbach-Hähnlein;;64665;6257;Hessen
Alsdorf;, Rheinl;52477;2404;Nordrhein-Westfalen
Alsdorf;, Eifel;54668;6568;Rheinland-Pfalz
Alsdorf;, Sieg;57518;2741;Rheinland-Pfalz
Alsenz;;67821;6362;Rheinland-Pfalz
Alsfeld;;36304;6631;Hessen
Alsheim;, Rheinhess;67577;6249;Rheinland-Pfalz
Alsleben;(Saale);6425;34692;Sachsen-Anhalt
Alt Bennebek;;24848;4624;Schlewig-Holstein
Alt Bork;;14822;33845;Brandenburg
Alt Brieselang;;14656;33232;Brandenburg
Alt Bukow;;18233;38294;Mecklenburg-Vorpommern
Alt Duvenstedt;;24791;4338;Schlewig-Holstein
Alt Golm;;15526;33631;Brandenburg
Alt Jabel;;19303;38759;Mecklenburg-Vorpommern
Alt Karin;;18236;38297;Mecklenburg-Vorpommern
Alt Kätwin;;18299;38459;Mecklenburg-Vorpommern
Alt Krenzlin;;19288;38751;Mecklenburg-Vorpommern
Alt Krüssow;;16928;3395;Brandenburg
Alt Lanschvitz;;18581;38301;Mecklenburg-Vorpommern
Alt Lutterow;;16837;33923;Brandenburg
Alt Madlitz;;15518;33607;Brandenburg
Alt Mahlisch;;15306;33602;Brandenburg
Alt Meteln;;19069;3867;Mecklenburg-Vorpommern
Alt Mölln;;23881;4542;Schlewig-Holstein
Alt Necheln;;19412;38483;Mecklenburg-Vorpommern
Alt Poorstorf;;23992;38429;Mecklenburg-Vorpommern
Alt Rehse;;17217;3962;Mecklenburg-Vorpommern
Alt Ruppin;;16827;3391;Brandenburg
Alt Schönau;;17192;39934;Mecklenburg-Vorpommern
Alt Schwerin;;17214;39932;Mecklenburg-Vorpommern
Alt Stahnsdorf;;15859;33678;Brandenburg
Alt Tellin;;17129;39991;Mecklenburg-Vorpommern
Alt Tucheband;;15328;33472;Brandenburg
Alt Zachun;;19230;38859;Mecklenburg-Vorpommern
Alt Zauche;;15913;3546;Brandenburg
Altbach;, Württ;73776;7153;Baden-Württemberg
Altbarnim;;15320;33474;Brandenburg
Altbrand;;76726;7274;Rheinland-Pfalz
Altbrandsleben;;39387;39407;Sachsen-Anhalt
Altdöbern;;3229;35434;Brandenburg
Altdorf;, Pfalz;67482;6327;Rheinland-Pfalz
Altdorf;, Kr Böblingen;71155;7031;Baden-Württemberg
Altdorf;b Nürtingen;72655;7127;Baden-Württemberg
Altdorf;, Niederbay;84032;8704;Bayern
Altdorf;b. Nürnberg;90518;9187;Bayern
Altefähr;;18573;38306;Mecklenburg-Vorpommern
Alteglofsheim;;93087;9453;Bayern
Altena;, Westf;58762;2352;Nordrhein-Westfalen
Altenahr;;53505;2643;Rheinland-Pfalz
Altenau;b Mühlberg, Elbe;4931;35342;Brandenburg
Altenau;, Harz;38707;5328;Niedersachsen
Altenbach;b Wurzen;4828;3425;Sachsen
Altenbamberg;;55585;6708;Rheinland-Pfalz
Altenbeken;;33184;5255;Nordrhein-Westfalen
Altenberg;, Erzgeb;1773;35056;Sachsen
Altenberga;;7768;36424;Thüringen
Altenberge;, Westf;48341;2505;Nordrhein-Westfalen
Altenbeuthen;;7338;36737;Thüringen
Altenbrak;;38889;39456;Sachsen-Anhalt
Altenbuch;, Unterfr;97901;9392;Bayern
Altenburg;, Thür;4600;3447;Thüringen
Altendambach;;98553;3681;Thüringen
Altendiez;;65624;6432;Rheinland-Pfalz
Altendorf;b Sebnitz;1855;35022;Sachsen
Altendorf;b Nabburg;92540;9675;Bayern
Altendorf;, Kr Bamberg;96146;9545;Bayern
Altenfeld;b Ilmenau, Thür;98701;36781;Thüringen
Altengesees;;7356;36643;Thüringen
Altenglan;;66885;6381;Rheinland-Pfalz
Altengottern;;99991;36022;Thüringen
Altenhagen;b Altentreptow;17091;39600;Mecklenburg-Vorpommern
Altenhagen;b Bad Doberan;18236;38292;Mecklenburg-Vorpommern
Altenhausen;b Haldensleben;39343;39052;Sachsen-Anhalt
Altenhof;b Eberswalde;16244;33363;Brandenburg
Altenhof;b Röbel;17209;39924;Mecklenburg-Vorpommern
Altenhof;b Eckernförde;24340;4351;Schlewig-Holstein
Altenhof;b Oberweis, Eifel;54636;6527;Rheinland-Pfalz
Altenhof;b Kyllburg;54655;6594;Rheinland-Pfalz
Altenhof;b Kaiserslautern;67677;6303;Rheinland-Pfalz
Altenholz;;24161;431;Schlewig-Holstein
Altenholz;;24161;431;Schlewig-Holstein
Altenkirchen;, Rügen;18556;38391;Mecklenburg-Vorpommern
Altenkirchen;(Westerwald);57610;2681;Rheinland-Pfalz
Altenkirchen;, Pfalz;66903;6386;Rheinland-Pfalz
Altenkrempe;;23730;4561;Schlewig-Holstein
Altenkunstadt;;96264;9572;Bayern
Altenmarkt;a d Alz;83352;8621;Bayern
Altenmedingen;;29575;5807;Niedersachsen
Altenmoor;;25335;4121;Schlewig-Holstein
Altenmünster;, Schwab;86450;8295;Bayern
Altenpleen;;18445;38323;Mecklenburg-Vorpommern
Altenriet;;72657;7127;Baden-Württemberg
Altenroda;;6642;34465;Sachsen-Anhalt
Altensalzwedel;;29416;39035;Sachsen-Anhalt
Altenstadt;, Hess;63674;6047;Hessen
Altenstadt;b Schongau;86972;8861;Bayern
Altenstadt;, Iller;89281;8337;Bayern
Altenstadt;a d Waldnaab;92665;9602;Bayern
Altensteig;, Württ;72213;7453;Baden-Württemberg
Altenthann;, Oberpf;93177;9408;Bayern
Altentreptow;;17087;3961;Mecklenburg-Vorpommern
Altenweddingen;;39171;39205;Sachsen-Anhalt
Altenzaun;;39596;39394;Sachsen-Anhalt
Alterkülz;;56288;6762;Rheinland-Pfalz
Alterode;;6543;34742;Sachsen-Anhalt
Altersbach;b Schmalkalden;98587;36847;Thüringen
Altertheim;;97237;9307;Bayern
Altes Forsthaus;;56130;;Rheinland-Pfalz
Altes Lager;;14913;3372;Brandenburg
Altfraunhofen;;84169;8705;Bayern
Altfriedland;;15320;33476;Brandenburg
Altfriesack;;16818;33925;Brandenburg
Alt-Galow;;16278;33338;Brandenburg
Altgersdorf;;16259;33451;Brandenburg
Altglietzen;;16259;33369;Brandenburg
Althegnenberg;;82278;8202;Bayern
Altheim;b Riedlingen, Württ;88499;7371;Baden-Württemberg
Altheim;(Alb);89174;7340;Baden-Württemberg
Altheim;b Ehingen, Donau;89605;7391;Baden-Württemberg
Altheimersberg;;91788;9143;Bayern
Althengstett;;75382;7051;Baden-Württemberg
Althornbach;;66484;6338;Rheinland-Pfalz
Althütte;, Württ;71566;7183;Baden-Württemberg
Althüttendorf;;16247;33361;Brandenburg
Altjeßnitz;;6800;3494;Sachsen-Anhalt
Altkalen;;17179;39973;Mecklenburg-Vorpommern
Altkirchen;b Schmölln, Thür;4626;34491;Thüringen
Altkünkendorf;;16278;33337;Brandenburg
Altlandsberg;;15345;33438;Brandenburg
Altlay;;56858;6543;Rheinland-Pfalz
Altleiningen;;67317;6356;Rheinland-Pfalz
Altlewin;;16259;33452;Brandenburg
Altlüdersdorf;;16775;3306;Brandenburg
Altlußheim;;68804;6205;Baden-Württemberg
Altmachern;;54492;;Rheinland-Pfalz
Altmädewitz;;16259;33456;Brandenburg
Altmannstein;;93336;9446;Bayern
Altmersleben;;39624;39080;Sachsen-Anhalt
Altmittweida;;9648;3727;Sachsen
Altomünster;;85250;8254;Bayern
Altona;b Eldena a d Elde;19294;38755;Mecklenburg-Vorpommern
Altottenhain;;4643;;Sachsen
Altötting;;84503;8671;Bayern
Altreetz;;16259;33457;Brandenburg
Altrich;;54518;6571;Rheinland-Pfalz
Altrip;, Kr Ludwigshafen am Rhein;67122;6236;Rheinland-Pfalz
Alt-Schadow;;15910;35473;Brandenburg
Altscheid;;54636;6527;Rheinland-Pfalz
Altshausen;;88361;7584;Baden-Württemberg
Altstrimmig;;56858;6545;Rheinland-Pfalz
Alt-Sührkow;;17166;3996;Mecklenburg-Vorpommern
Altthymen;;16798;33093;Brandenburg
Alttrebbin;;16259;33474;Brandenburg
Altusried;;87452;8373;Bayern
Altwarp;;17375;39773;Mecklenburg-Vorpommern
Altweidelbach;;55469;6761;Rheinland-Pfalz
Altwigshagen;;17379;39777;Mecklenburg-Vorpommern
Altwittenbek;;24214;431;Schlewig-Holstein
Altwustrow;;16259;33457;Brandenburg
Alveslohe;;25486;4193;Schlewig-Holstein
Alzenau;, Unterfr;63755;6023;Bayern
Alzey;;55232;6731;Rheinland-Pfalz
Am Jägerberg;;21227;;Niedersachsen
Am Quicken;;82493;;Bayern
Am Rainberge;;34497;;Hessen
Am Römerhof;;61200;;Hessen
Am Römerschacht;;61200;;Hessen
Am Rönndeich;;21706;;Niedersachsen
Am Rüdesheimer Hafen;, Rheingau;65385;;Hessen
Am Sandkopf;Gem Fuldatal;34127;;Hessen
Am Sandweiher;;66849;6371;Rheinland-Pfalz
Am Springberg;;76889;;Rheinland-Pfalz
Am Tekenberge;;38350;5355;Niedersachsen
