event_address,event_id,event_start_date,event_start_time,pickup_zip_code,user_id,journey_id,journey_empty_spaces,journey_car,journey_text,journey_date,journey_start_time
"Rheinlanddamm 200, 44139 Dortmund",7be626b0-c1cd-4a26-a111-60afb13ba940,2020-04-30,17:00:00,25582,aecf56fd-695c-479f-93a1-f203dacbdf10,872de9a8-3bce-46e1-9754-c259d51c9106,1,Opel,Minus rerum error voluptate. Reprehenderit asperiores eaque ipsa.,2020-04-30,01:42:25
"Rheinlanddamm 200, 44139 Dortmund",7be626b0-c1cd-4a26-a111-60afb13ba940,2020-04-30,17:00:00,4916,dada47be-f7f8-4905-94c3-1005b72fbd36,00aa9ee9-75a8-49c8-b963-7e2137074e2b,5,Cadillac,"Aperiam distinctio nisi nam et. Hic molestias ipsam repudiandae.
Veniam labore ipsum maiores pariatur repudiandae quis magnam. Explicabo nostrum cum asperiores quia reiciendis harum.",2020-04-30,00:39:18
"Otto-Flimm-Straße, 53520 Nürburg",eff7e9ae-9c58-42e1-8835-0d51c33dc480,2020-06-05,12:00:00,24241,a39678ec-c597-47bb-b8fc-0a7187b1e9cf,2f3f8603-9b40-4417-a7fa-74bb571205d6,5,Daihatsu,"Repudiandae illum eius vel eveniet. Veritatis dolores eum voluptates.
Facere corporis rem amet ad.
Repudiandae fuga iure ullam amet maiores eligendi.",2020-06-05,12:29:27
"Mörfelder Landstraße 362, 60528 Frankfurt am Main",e6930b99-e8ca-49f8-9583-89f54366dc14,2020-06-05,20:00:00,56820,68d73a2c-b5b4-4abf-b3c0-c9fc145c491c,d76dc0ea-de89-4f18-b8e7-80e0b0748969,5,Donkervoort,"Optio optio mollitia tempora doloremque eos tenetur.
Similique totam dolores temporibus tenetur earum eaque. Libero tempore suscipit velit natus eum magnam.",2020-06-05,20:22:42
"Rheinlanddamm 200, 44139 Dortmund",7be626b0-c1cd-4a26-a111-60afb13ba940,2020-04-30,17:00:00,14532,c2ce429c-458a-4b1c-a387-b17e85e76b74,e1c1f69e-aa5d-4c5e-82a6-54631a976230,2,Mazda,"Eligendi exercitationem quo rerum odit maiores. Aliquam officia perspiciatis molestiae autem sit nobis.
At officiis vitae exercitationem. Officiis eum in doloremque doloribus iste.",2020-04-30,18:41:55
"Xaver-Fuhr-Straße 101, 68163 Mannheim",2ab60824-b539-4a1f-ae1a-f7d94d2d55bb,2020-04-04,19:00:00,17291,dada47be-f7f8-4905-94c3-1005b72fbd36,c76981c5-7e52-40eb-9429-c43ba969b5c2,2,Lada,Tenetur perferendis nostrum repudiandae corrupti tempore. Ipsa aliquam consectetur tenetur soluta temporibus est. Consectetur corporis ut.,2020-04-04,08:24:47
"Rheinlanddamm 200, 44139 Dortmund",7be626b0-c1cd-4a26-a111-60afb13ba940,2020-04-30,17:00:00,1877,7b5348cc-c67f-427f-9140-1ea13eaeed86,912fcb58-fc31-4426-979d-64a6b1ea428b,4,Mercedes-Benz,"Iusto sapiente corporis voluptatum. Eum recusandae eos nesciunt eligendi reiciendis. Hic occaecati itaque dicta illum placeat quos.
Iusto in quas recusandae sapiente iste vel.",2020-04-30,10:50:34
"Mörfelder Landstraße 362, 60528 Frankfurt am Main",e6930b99-e8ca-49f8-9583-89f54366dc14,2020-06-05,20:00:00,15806,2304c823-9906-4a4f-a364-0f9cde3c468b,ffca7260-0de8-43f8-a242-cb942f756f6a,1,Lotus,"Laboriosam suscipit officia error illo vel eveniet. Ipsam exercitationem deleniti dolor tenetur aperiam.
Minima nulla eos fugiat sunt totam error reiciendis. Alias modi corporis quos.",2020-06-05,15:54:31
"Xaver-Fuhr-Straße 101, 68163 Mannheim",2ab60824-b539-4a1f-ae1a-f7d94d2d55bb,2020-04-04,19:00:00,27632,29ca31a6-ee81-4d54-b9e7-4dd53b8f234f,3a0efb95-4f76-4c80-bff7-7b631e0a00cd,5,Donkervoort,"Et ullam voluptas fugiat error eaque. Quae aliquam porro. Vitae voluptate maxime nobis aliquid officiis.
Cumque perspiciatis aliquam neque error. Voluptates totam corporis impedit vitae reiciendis.",2020-04-04,21:29:38
"Xaver-Fuhr-Straße 101, 68163 Mannheim",2ab60824-b539-4a1f-ae1a-f7d94d2d55bb,2020-04-04,19:00:00,19322,aa5a1ae1-11f0-4286-aa10-ebecf74a27db,3e391c5a-98c1-4cfb-93cc-76620e350708,4,MG,Ratione molestiae dicta quidem. Atque optio qui corporis expedita. Natus amet maxime impedit porro.,2020-04-04,04:19:07
