,pickup_city,pickup_zip_code
0,Aach,54298
1,Aach,78267
2,Aachen,52062
3,Aachen,52064
4,Aachen,52066
5,Aachen,52068
6,Aachen,52070
7,Aachen,52072
8,Aachen,52074
9,Aachen,52076
10,Aachen,52078
11,Aachen,52080
12,Aalen,73430
13,Aalen,73431
14,Aalen,73432
15,Aalen,73433
16,Aalen,73434
17,Aarbergen,65326
18,Aasbüttel,25560
19,Abbau Ader,29416
20,Abbendorf,19322
21,Abbenrode,38871
22,Abberode,6543
23,Abenberg,91183
24,Abend,1623
25,Abensberg,93326
26,Abentheuer,55767
27,Abraham,94036
28,Absberg,91720
29,Abstatt,74232
30,Abtlöbnitz,6628
31,Abtsbessingen,99713
32,Abtsdorf,6888
33,Abtsgmünd,73453
34,Abtsteinach,69518
35,Abtswind,97355
36,Abtweiler,55568
37,Achberg,88147
38,Achen,83552
39,Achern,77855
40,Achim,28832
41,Achim,38312
42,Achslach,94250
43,Achstetten,88480
44,Acht,56729
45,Achtelsbach,55767
46,Achterspannerhof,56299
47,Achterwehr,24239
48,Achtrup,25917
49,Ackendorf,39343
50,Ackermannshof,16259
51,Adamshoffnung,17213
52,Addebüll,25842
53,Adelberg,73099
54,Adelebsen,37139
55,Adelhausen,98646
56,Adelheidsdorf,29352
57,Adelmannsfelden,73486
58,Adelschlag,85111
59,Adelsdorf,1561
60,Adelsdorf,91325
61,Adelsheim,74740
62,Adelshofen,82276
63,Adelshofen,91587
64,Adelsried,86477
65,Adelzhausen,86559
66,Adenau,53518
67,Adenbach,67742
68,Adenbüttel,38528
69,Adendorf,21365
70,Adenstedt,31079
71,Aderstedt,6408
72,Aderstedt,38838
73,Adlersteige,73479
74,Adligstadt,83364
75,Adlkofen,84166
76,Adlkofen,84166
77,Admannshagen-Bargeshagen,18211
78,Adorf,8626
79,Aebtissinwisch,25572
80,Aerzen,31855
81,Affalterbach,71563
82,Affing,86444
83,Affinghausen,27257
84,Affler,54689
85,Aftholderbach,56355
86,Agathenburg,21684
87,Agethorst,25560
88,Aglasterhausen,74858
89,Aham,84168
90,Ahaus,48683
91,Ahausen,27367
92,Ahlbeck,17375
93,Ahlden,29693
94,Ahlefeld,24811
95,Ahlen,59227
96,Ahlen,59229
97,Ahlerstedt,21702
98,Ahlsdorf,4916
99,Ahlsdorf,6313
100,Ahlstädt,98553
101,Ahlum,38489
102,Ahnatal,34292
103,Ahneby,24996
104,Ahnsbeck,29353
105,Ahnsen,31708
106,Aholfing,94345
107,Aholming,94527
108,Ahorn,74744
109,Ahorn,96482
110,Ahorntal,95491
111,Ahrain,83739
112,Ahrbrück,53506
113,Ahrensbök,23623
114,Ahrensburg,22926
115,Ahrensdorf,14974
116,Ahrensdorf,15864
117,Ahrensfelde,16356
118,Ahrenshagen,18320
119,Ahrenshöft,25853
120,Ahrenstedt,24787
121,Ahrenviöl,25885
122,Ahrenviölfeld,25885
123,Aicha,94529
124,Aichach,86551
125,Aichat,83565
126,Aichberg,83329
127,Aichelberg,73101
128,Aichen,86479
129,Aichhalden,78733
130,Aichstetten,88317
131,Aichtal,72631
132,Aichwald,73773
133,Aichwies,83329
134,Aidenbach,94501
135,Aidhausen,97491
136,Aidlingen,71134
137,Aiglsbach,84089
138,Ailertchen,56459
139,Aindling,86447
140,Ainring,83404
141,Aislingen,89344
142,Aiterhofen,94330
143,Aitern,79677
144,Aiteröd,84137
145,Aitrach,88319
146,Aitrang,87648
147,Aitzendorf,9326
148,Aken,6385
149,Alach,99100
150,Alach,99100
151,Albaching,83544
152,Albbruck,79774
153,Albernhof,93449
154,Albersdorf,7646
155,Albersdorf,25767
156,Albershausen,73095
157,Albersroda,6268
158,Alberstedt,6279
159,Albersweiler,76857
160,Alberthofen,57614
161,Albertinenhof,16818
162,Albertinenhof,19260
163,Albertshofen,97320
